object alloc, Thread is main, class is Ljava/util/Locale;, size is 32, tag is 279 
object alloc, Thread is main, class is Landroid/graphics/Rect;, size is 24, tag is 280 
object alloc, Thread is main, class is Ljava/util/Locale;, size is 32, tag is 281 
object alloc, Thread is main, class is Landroid/graphics/Rect;, size is 24, tag is 282 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 283 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 284 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 285 
object alloc, Thread is main, class is [C, size is 48, tag is 286 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 287 
object alloc, Thread is main, class is Ljava/util/concurrent/ConcurrentHashMap;, size is 64, tag is 288 
object alloc, Thread is main, class is Ljava/util/Stack;, size is 24, tag is 289 
object alloc, Thread is main, class is [Ljava/lang/Object;, size is 56, tag is 290 
object alloc, Thread is main, class is Lmiui/content/res/ThemeValues;, size is 24, tag is 291 
object alloc, Thread is main, class is Ljava/util/HashMap;, size is 40, tag is 292 
object alloc, Thread is main, class is Ljava/util/HashMap;, size is 40, tag is 293 
object alloc, Thread is main, class is Ljava/util/HashMap;, size is 40, tag is 294 
object alloc, Thread is main, class is Ljava/util/HashMap;, size is 40, tag is 295 
object alloc, Thread is main, class is Ljava/util/concurrent/ConcurrentHashMap;, size is 64, tag is 296 
object alloc, Thread is main, class is Ljava/lang/ref/WeakReference;, size is 24, tag is 297 
object alloc, Thread is main, class is Landroid/content/res/MiuiResources;, size is 48, tag is 298 
object alloc, Thread is main, class is Landroid/util/Pools$SynchronizedPool;, size is 24, tag is 299 
object alloc, Thread is main, class is Ljava/lang/Object;, size is 8, tag is 300 
object alloc, Thread is main, class is [Ljava/lang/Object;, size is 32, tag is 301 
object alloc, Thread is main, class is Ljava/lang/Object;, size is 8, tag is 302 
object alloc, Thread is main, class is Landroid/util/TypedValue;, size is 40, tag is 303 
object alloc, Thread is main, class is Ljava/util/ArrayList;, size is 24, tag is 304 
object alloc, Thread is main, class is Ljava/lang/ref/WeakReference;, size is 24, tag is 305 
object alloc, Thread is main, class is Landroid/os/StrictMode$ThreadPolicy;, size is 24, tag is 306 
object alloc, Thread is main, class is Landroid/os/StrictMode$ThreadPolicy;, size is 24, tag is 307 
object alloc, Thread is main, class is Lmiui/content/res/ThemeResourcesPackage;, size is 56, tag is 308 
object alloc, Thread is main, class is Ljava/util/ArrayList;, size is 24, tag is 309 
object alloc, Thread is main, class is Lmiui/content/res/ThemeResources$LoadThemeConfigHelper;, size is 16, tag is 310 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 311 
